i,j,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14
1,6,87.35297171306411,21.41397609868171,4.923464989383554,17.73808511239854,1.7979441575218026E-245,1.4405874122467736E-78,1.1130473345579333E-124,1.0,9.9651803436015E-67,1.2252761495890362E-186,1.7757419425215167E-199,7.908799231633137E-245,321.0,19.920270595036587,10.715535327381833
1,7,44.666792042712935,17.706392360637263,7.492861362241994,5.604019220210336,0.0,1.5783823253896653E-261,0.0,2.1144477760179612E-210,1.9093463704318656E-236,1.0,0.0,0.0,494.0,20.02399546927752,39.15081492965545
1,8,88.89883366989169,16.746559403247225,7.06946896496501,21.04594924454447,0.0,0.0,0.0,5.584778806380084E-294,0.0,1.0,0.0,0.0,546.0,20.103237742055896,25.616914014407005
1,9,2.872069529531762,16.079646150226964,5.908177518190547,60.295384319895234,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,682.0,20.563217697365456,38.742194383749506
2,0,60.60291537774655,17.000544237724547,8.286280281042055,56.646267557353944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,14.821221210697656,43.975731000344815
2,1,25.0602301872056,26.865285267430348,4.665278811010822,80.16586044739303,0.0,2.827961322275423E-194,6.945813698799889E-274,1.0095963011204223E-148,1.0,0.0,0.0,0.0,446.0,19.090680649406078,19.760950716609997
2,2,75.204270767814,24.62654728300325,7.653646184537111,29.581273082883822,1.0,1.076301225558441E-162,6.917545449072369E-233,2.0723979441112726E-123,2.9986083374698575E-143,1.3523E-320,0.0,0.0,415.0,12.698214634796006,37.89384940332022
2,3,9.93666815120785,20.791437137785316,5.01637783404653,21.4763904694364,1.187342781897877E-177,1.2030972020565585E-38,4.0391429740281012E-75,9.913707571099416E-22,7.621473994925005E-30,1.0,1.3990873140822149E-137,8.813650213548321E-179,282.0,15.302762467340315,28.90329437813923
2,4,70.24741460493897,1.9453903968428654,5.6860944083599465,32.25795270113868,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,637.0,13.556943173266658,21.114230374428445
2,5,64.04267069027628,15.514009374864973,6.66208291516143,39.6020358760163,0.0,2.189176635030346E-243,0.0,3.3697142520216985E-193,1.0,0.0,0.0,0.0,480.0,20.073146627934502,41.4153651934536
