i,j,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14
0,0,25.29173811587333,6.375557990786119,7.4395882275292005,66.89408565857671,5.552495676649529E-29,1.987073694845203E-86,1.7957454886004267E-113,0.002467280581552207,2.727744135531595E-14,0.0,7.34566484947532E-12,0.9975327194110748,395.01973824492416,21.212249184471915,26.264475793088067
0,1,10.938772424534804,19.0052578340837,5.8048627987599755,3.7127364385533053,0.0,0.0,0.0,1.65763619664958E-170,3.273345456197862E-193,0.0,1.1790701112567266E-145,0.0,654.0,20.114184524211943,12.340467613821279
0,2,65.2738974628701,2.051678685402148,4.362862999175206,5.158494817641829,5.13832699566569E-190,1.2193954996246928E-292,0.0,6.30405454841596E-61,4.609927509028211E-57,0.0,1.081435683910958E-42,1.0,531.0,21.457398500159492,26.745767141913294
0,3,65.62189228966909,24.98901468536443,7.383130953322953,62.03550502500216,8.508105459191499E-232,0.0,0.0,4.070287596735741E-77,1.4210762940658546E-70,1.0,2.0657576454223352E-52,0.0,571.0,16.25265711417978,13.248216010713904
0,4,84.27070592144975,13.467941565429886,4.953396185149642,24.239079431078384,3.9692548109246435E-33,9.088023719035891E-69,1.178394747801516E-92,0.0199526231496888,0.04278061975104111,0.0,1.0240905187637019E-41,0.9372667570992701,368.01046999685354,12.945016814159052,12.373986689278999
0,5,94.68078054236554,5.067133779869756,8.394141567077781,13.440433093508148,9.031364022699732E-74,3.091107602861185E-113,0.9999999999896335,5.063643209372761E-24,1.0366499518654932E-11,0.0,2.7742768446203346E-33,2.454482707221223E-125,408.8400107955844,13.849878133532942,32.186944738771594
0,6,31.344397961019332,9.132452116074619,5.543747875802911,51.914783325357206,9.843505777176483E-22,6.239968399891322E-65,0.9999885601870419,1.3320702415875756E-6,1.544515373756541E-15,1.2244297618404869E-272,1.0107742715039896E-5,2.3232109472067403E-70,375.0001990218503,21.774618692991947,38.73103048003228
0,7,56.40402529202028,27.573601753543944,4.705445560707368,33.22962004047022,1.3736241871688546E-181,7.621510009882443E-298,0.0,4.912837851597194E-56,7.35627396564532E-46,1.0,5.122070951114038E-34,0.0,537.0,21.578302794303234,42.0287412570406
0,8,30.470214664140784,21.868275265236477,7.524889490776658,3.974966178727983,7.335623173710789E-155,1.4135833457697916E-251,0.0,2.575593907458654E-45,2.7002471845066717E-39,0.0,1.0,7.645113819884223E-276,511.0,16.761761231540437,36.229708963096925
0,9,63.62381595425259,7.628539130672478,8.481787016279865,94.48923979927166,1.731302371371125E-52,3.1352817800403516E-130,9.311549025198874E-172,1.2686152004067768E-10,0.9999999918094521,0.0,8.063686420724963E-9,1.4535612552605818E-141,425.00000005380844,17.55565894463872,42.770426374527986
1,0,89.5483159683873,4.089391695415778,6.072637670388452,35.045980398628814,0.052480746024977265,4.142501871034893E-30,7.630978275170084E-41,6.570230435004666E-18,7.913102635382086E-20,0.0,4.112505294673264E-80,9.054082195492375E-34,309.31488447614987,19.72408214808876,16.684411865819417
1,1,45.72112868062505,1.531046128524354,5.190513414374102,6.46416348004565,8.43605029209128E-45,3.2958444981178923E-75,0.9999860297512179,3.6942865679232866E-17,1.3970248782123105E-5,0.0,1.6216154035197409E-28,7.896171533715085E-83,381.0004191074635,15.002763589943614,37.057445402755725
1,2,28.597767697921633,23.69257814372706,6.984743539680861,95.32428792935616,1.5005665176637763E-7,0.9999971776425645,3.61244150034443E-66,5.015134248223891E-10,2.671799270261981E-6,2.786869474666672E-86,1.0323651345025622E-34,3.0849559609436886E-54,346.9998820518163,15.0418328417497,34.655934695834496
1,3,65.66426334428085,23.297799302982657,4.139779035191699,27.89379864249123,1.1988268525366694E-21,4.996880421244858E-35,1.3572676714170963E-47,3.603383445841685E-21,1.85723348534136E-19,1.5891806982068726E-305,1.0,4.2141034318609585E-39,331.0,18.848073484983935,48.70082116134611
1,4,21.001844692202166,14.531070053153863,7.636429809338123,43.338457550067496,4.024645776795241E-26,3.07546562024126E-71,4.99781498898491E-94,1.965157889652383E-6,0.9583110964950767,0.0,0.04168693834703354,2.745841058624478E-77,382.3752237134414,15.643370262943494,37.312588256912896
1,5,84.16442355515353,1.574401473160376,5.0422355424315635,53.74870100015687,0.0,0.0,0.999999999982679,1.765305154544158E-174,6.129166457762196E-195,0.0,9.387699807830006E-146,0.0,659.0000000001212,14.936284683681421,15.190215367519604
1,6,27.816462519009725,17.349416769665304,8.269562063424607,81.55415017726445,1.617797866303939E-274,0.0,0.0,0.9999999999999946,1.2475685066539363E-96,0.0,3.1952342222139535E-72,0.0,603.0000000000003,19.762844026611155,38.618736312885346
1,7,66.75508680491589,27.545369927249503,4.49443797545831,45.55223740804758,6.163399440061968E-221,0.0,0.0,4.7970070051676045E-71,8.168814369792718E-66,0.0,6.062273072278045E-49,1.0,561.0,13.104256580071512,8.735787281621029
1,8,98.26900746061206,26.258210553763217,5.240164646652673,5.302202816657727,2.9994648486436164E-62,4.8317699464771847E-91,2.597153680726454E-123,6.282888040617307E-27,1.7953073080286446E-15,0.0,1.604615439988197E-45,1.5652147793627797E-101,386.00000000000006,17.625367608867617,34.095029014659204
1,9,4.266625915286715,9.426125214923145,6.2163446831756755,54.00330354309267,2.6719607211175756E-209,0.0,0.0,7.320733936488811E-68,1.5761200911344E-57,1.0,1.543052749571282E-43,0.0,561.0,17.857059020234182,13.511175205528557
2,0,51.397284192450286,16.35160902827599,8.381059725150164,27.362926814149134,2.671544888294317E-274,0.0,0.0,1.0,1.1924105133573015E-98,0.0,1.1438875539354556E-73,0.0,594.0,19.74624298352373,38.796024358345164
2,1,88.93857038625319,25.844969992961428,8.2694424165813,35.04371641764666,2.573378197132404E-39,2.432304118890077E-72,0.9999998653433758,1.7356907613430013E-16,1.3465662395212972E-7,0.0,1.1054874120095613E-36,3.850816262579862E-80,373.999996902898,15.4881447489588,23.798431790962212
2,2,41.066613336860414,7.171129330349106,8.54019528175395,99.40134250426487,0.9999960298365604,2.6950330462986533E-162,1.738839972649062E-213,5.859190231113286E-11,1.1670662760092032E-7,0.0,3.8533982200718844E-6,6.617223868477955E-176,448.9999330890555,15.899571741711448,6.298618626953432
2,3,31.56554473260721,26.674246832035774,6.766961066214846,93.16670368183257,2.2788233182921903E-17,5.441768121272219E-71,0.9997697042436618,2.3029575630536677E-4,3.290631292095364E-14,1.21854209804391E-212,4.535782296973139E-21,3.503028683895759E-76,373.006908872687,17.577351925760947,23.289548568513133
2,4,40.683238807855496,1.5935292471347309,8.338700078979151,34.511059660163596,1.3743402714057288E-239,0.0,1.0,9.264092593899183E-84,3.6164094647963936E-75,0.0,3.219867048497867E-56,0.0,576.0,14.709377562064379,31.996461236573477
2,5,67.41928844007559,13.002323006805245,5.860396321491045,85.66129100770739,9.224373264754437E-87,1.6534189821652938E-175,3.745953864789421E-232,8.686495070865049E-16,5.151897165971522E-12,0.0,5.586996579357982E-9,2.6818176834884847E-191,459.99999984344555,19.148732934224725,9.055343938182661
2,6,92.9827178782953,26.965125617646788,5.437284092990773,95.54063932822224,7.271665169708346E-250,0.0,1.0,2.2223989643929441E-91,1.8555198694841442E-88,0.0,2.500849020321307E-65,0.0,578.0,21.87796185550461,30.478255274448415
2,7,20.375306164194036,24.82989706196316,6.96208279104427,79.23076217792511,3.711752564969888E-31,3.6089406438347005E-92,3.32395011683026E-121,0.21938118260894604,1.1100114043987167E-13,0.0,0.780618817390943,1.7574520814353982E-99,399.09690591378194,14.657199337837021,14.560051485077297
2,8,74.03823155653023,25.30058542660683,3.9015400901958666,54.960651230588276,1.1327715111113177E-113,6.282059828145734E-207,4.834310135819162E-275,0.9999999999999676,1.5468077666277872E-19,0.0,3.240653848430446E-14,8.436731243152784E-227,483.9999999999983,20.464466385654692,43.753498461958095
2,9,3.459903951783716,27.325289265976735,4.013826777903377,27.624611914413006,2.217493701266116E-126,1.4529267309617681E-226,5.714207327708135E-300,1.7439194410916363E-32,9.822194408008258E-24,1.0,2.1177094896744793E-18,2.1417090905302835E-247,497.0,15.094077638719742,33.79346334919187
3,0,68.15263552927827,22.032944765559954,8.166734089378618,38.30955237761634,7.885343727114997E-190,1.148875441923989E-305,0.0,1.0279063380844735E-57,1.314315423119248E-49,1.0,8.280453849585519E-37,0.0,540.0,16.854062685369033,17.438341692460547
3,1,88.78326063113174,4.802357278338629,5.20625085267921,70.63377707684668,7.191921382367558E-304,0.0,0.0,1.0,1.0169629605523245E-119,0.0,4.377104258615292E-89,0.0,607.0,21.786056835634728,11.923053513844271
3,2,52.40613479019468,19.759405193138363,6.683418684417377,80.59447960254145,0.0,0.0,0.0,1.0741607243967354E-227,9.259337023993118E-264,0.0,0.9999793291210503,0.0,704.9991938357211,18.64447753109699,7.286874783270199
3,3,61.01188921408078,2.7696173074749297,3.8181936784499073,84.4271898520379,0.0,0.0,0.9999636285483458,5.700040321294516E-223,5.549398118151555E-256,0.0,8.647865801277955E-192,0.0,698.9987997420955,19.501197163145047,38.076572637696806
3,4,82.98924817102393,14.814030826033981,7.01240963920127,10.511025775080814,0.0,0.0,0.0,5.773718990260351E-205,1.0,0.0,7.4058787451738245E-177,0.0,675.0,13.972069714372315,43.71325759694823
3,5,62.0964803657579,18.338403680133307,4.971928945722586,69.77176212291474,0.9999535653019646,0.0,0.0,1.1251790618119995E-199,1.3068804598239906E-227,0.0,1.6498702625832411E-170,0.0,683.9991641754353,15.41472906672768,18.383603038325578
3,6,58.56412433448234,9.271764582292658,8.691634002019526,48.465910853139526,7.836058294324715E-266,1.0,0.0,2.8074955674668055E-99,2.2703955349213263E-92,0.0,1.0281501544500648E-68,0.0,592.0,20.06487492350067,48.66706761224196
3,7,98.0848290746882,14.69990288201691,3.9673629144071185,96.07557071854929,4.583134305195406E-155,8.701513932511601E-272,0.0,3.2760012635657034E-47,1.4658130731505108E-40,0.0,1.0,3.0333899075412778E-297,512.0,19.972671042903393,25.000245839699122
